id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,status,jumlah_stasiun,satuan,tahun
56,32,JAWA BARAT,3271,KOTA BOGOR,REAKTIVASI,0,UNIT,2021
57,32,JAWA BARAT,3271,KOTA BOGOR,TIDAK OPERASI,0,UNIT,2021
58,32,JAWA BARAT,3272,KOTA SUKABUMI,OPERASI,1,UNIT,2021
59,32,JAWA BARAT,3272,KOTA SUKABUMI,REAKTIVASI,0,UNIT,2021
60,32,JAWA BARAT,3272,KOTA SUKABUMI,TIDAK OPERASI,0,UNIT,2021
61,32,JAWA BARAT,3273,KOTA BANDUNG,OPERASI,7,UNIT,2021
62,32,JAWA BARAT,3273,KOTA BANDUNG,REAKTIVASI,0,UNIT,2021
63,32,JAWA BARAT,3273,KOTA BANDUNG,TIDAK OPERASI,0,UNIT,2021
64,32,JAWA BARAT,3274,KOTA CIREBON,OPERASI,2,UNIT,2021
65,32,JAWA BARAT,3274,KOTA CIREBON,REAKTIVASI,0,UNIT,2021
66,32,JAWA BARAT,3274,KOTA CIREBON,TIDAK OPERASI,0,UNIT,2021
67,32,JAWA BARAT,3275,KOTA BEKASI,OPERASI,2,UNIT,2021
68,32,JAWA BARAT,3275,KOTA BEKASI,REAKTIVASI,0,UNIT,2021
69,32,JAWA BARAT,3275,KOTA BEKASI,TIDAK OPERASI,1,UNIT,2021
70,32,JAWA BARAT,3276,KOTA DEPOK,OPERASI,5,UNIT,2021
71,32,JAWA BARAT,3276,KOTA DEPOK,REAKTIVASI,0,UNIT,2021
72,32,JAWA BARAT,3276,KOTA DEPOK,TIDAK OPERASI,0,UNIT,2021
73,32,JAWA BARAT,3277,KOTA CIMAHI,OPERASI,1,UNIT,2021
74,32,JAWA BARAT,3277,KOTA CIMAHI,REAKTIVASI,0,UNIT,2021
75,32,JAWA BARAT,3277,KOTA CIMAHI,TIDAK OPERASI,0,UNIT,2021
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,OPERASI,3,UNIT,2021
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,REAKTIVASI,0,UNIT,2021
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TIDAK OPERASI,0,UNIT,2021
79,32,JAWA BARAT,3279,KOTA BANJAR,OPERASI,3,UNIT,2021
80,32,JAWA BARAT,3279,KOTA BANJAR,REAKTIVASI,0,UNIT,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,TIDAK OPERASI,0,UNIT,2021
